brand,product_name,opportunity_score,opportunity_level
Boat,"boAt Nirvana Ion ANC Pro TWS Earbuds with Active Noise Cancellation (IPX4 Water Resistant, Dual EQ Modes, Crystal Black)",63.67,Medium
Goboult,"GOBOULT Cyborg TWS Earbuds with Environmental Noise Cancellation (IPX5 Water Resistant, Fast Charging, Blue Ice)",64.84,Medium
Boat,"boAt Airdopes 111v2 TWS Earbuds with Environmental Noise Cancellation (IPX4 Splash & Sweat Resistance, ASAP Charge, Classic Black)",63.74,Medium
Goboult,"GOBOULT Mustang Torq FGTW196SVR TWS Earbuds with Environmental Noise Cancellation (IPX5 Water Resistant, Fast Charging, Silver)",62.7,Medium
Noise,"noise Buds VS102 Neo TWS Earbuds with Environmental Noise Cancellation (IPX5 Water Resistant, Hyper Sync Technology, Carbon Black)",63.03,Medium
Boat,"boAt Nirvana Crown PP0031 TWS Earbuds with Hybrid Active Noise Cancellation (IPX4 Water Resistance, ASAP Charge, Blazing Red)",59.6,Medium
Jbl,"JBL Wave Buds 2 TWS Earbuds with Active Noise Cancellation (IP54 Water Resistant, 40 Hours Playtime, Pink)",59.11,Medium
Boat,"boAt Nirvana Ion ANC Pro w/ Hi-Res Audio with LDAC, ANC, 120H Battery, Multi-Connect Bluetooth",67.95,High
Noise,"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmental Noise Cancellation, Quad Mic Bluetooth Gaming",68.38,High
Noise,"noise Buds Marine AUDHDPHNBUDSMARINE TWS Earbuds with Active Noise Cancellation (IPX4 Water Resistant, Dual Pairing, Marine Black)",58.0,Medium
Noise,ANIO Buds Marine TWS | ANC|35H Battery Compatible with-Noise Bluetooth,51.54,Medium
Boat,"Boat Airdopes 111v2, Premium Leather Finish, 4Mics ENx, 50HRS Battery, 13mm Drivers, Fast Charge, Dual Pair, v5.4 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Classic Black)",50.28,Medium
Goboult,"GOBOULT Mustang Torq Wireless in Ear Earbuds with 60H Playtime, App Support, Quad Mic ENC, 45ms Low Latency, 13mm Driver, Breathing LEDs, Made in India Ear Buds Wireless (Silver)",48.7,Low
Boat,"boAt Nirvana Zenith Pro (2025),50dB Hybrid ANC,Spatial Audio,80Hr Battery,App Support Bluetooth",47.55,Low
Boat,"Boat Nirvana Ion ANC Pro, Hi-Res Audio LDAC,ANC(~32dB), 120Hrs Battery, App Support, Fast Charge, v5.3 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Crystal Black)",46.0,Low
Jbl,"JBL Wave Buds 2 ANC Earbuds with BTv5.3,Multi Connect,Fast Charge,40H runtime,4 Mics Bluetooth",45.21,Low
Boat,"Boat Nirvana Zenith Pro, 50dB Hybrid Adaptive ANC, Spatial Audio, Hi-Res Audio LDAC, 6Mics AI-ENx, 80 Hrs Battery, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Velvet Grey)",44.0,Low
Noise,"Noise Master Buds 2 with Sound by Bose (2026),51dB Adaptive ANC, Hi-Res LHDC Audio,360? Spatial Audio with Head Tracking, 6-mic ENC, Dual Pairing, Fast Charge & BT v6.1 (Carbon)",25.0,Low
Noise,"Noise MasterBuds 2, Sound by BOSE, 51dB ANC, Hi-Res LHDC, Spatial Audio, AI Assistance Bluetooth",24.7,Low
Noise,Buds Marine TWS Earbuds | ANC Noise Cancellation | 13mm Driver | 35H Battery | BT 5.3 | ENC Mic | Alloy Case Design (Black),36.68,Low
Jbl,"JBL Live Beam 3, Hi-Res LDAC Audio ANC TWS, SmartCase,48H Runtime, Wireless Charging Bluetooth",20.67,Low
Jbl,"JBL New Launch Live Beam 3 TWS,Hi-Res Audio True ANC Earbuds,Smart Case with Touch Display,48H Playtime,Wireless Charging,6 Mic,Multipoint Connection,Ip55 Proof, Headphones App,Personi-Fi 3.0 (Black)",18.5,Low
